Cluster,gleditsia triacanthos,platanus acerifolia,quercus palustris,ginkgo biloba,quercus acutissima,pyrus calleryana,koelreuteria paniculata,styphnolobium japonicum,zelkova serrata,tilia cordata,crataegus,quercus robur,quercus bicolor,liquidambar styraciflua,fraxinus pennsylvanica,quercus phellos,syringa reticulata,prunus,acer platanoides,liriodendron tulipifera,acer campestre,ulmus americana,acer saccharinum,acer rubrum,cercis canadensis,acer ginnala,quercus rubra,tilia tomentosa,gymnocladus dioicus,tilia americana,malus,metasequoia glyptostroboides,ilex,prunus virginiana,prunus cerasifera,celtis occidentalis,juniperus virginiana,fraxinus,magnolia,catalpa,quercus alba,morus,ulmus parvifolia,acer pseudoplatanus,taxodium distichum,aesculus hippocastanum,fraxinus americana,acer saccharum,acer palmatum,robinia pseudoacacia,carpinus betulus,ailanthus altissima,cornus florida,pinus strobus,tsuga canadensis,amelanchier,cercidiphyllum japonicum,picea pungens,pinus,picea,pinus nigra,picea abies
Cluster26,0.389984825,0.341431385,0.397737983,0.306878307,,0.304568528,0.5,0.30075188,0.161702128,0.207461328,0,0,,0.090909091,0.20979021,,,0.101694915,0.170690385,,0,0.362318841,0.06501548,0.053824363,,0.060606061,0.010309278,0.131578947,,0.041450777,0.047619048,0,,0.027027027,0.017699115,0,,0,0,,0.024390244,0,0,0.034782609,0,,,0,0,0,0,0,0,0,,,,,,,,
Cluster27,0.223894638,0.348336595,0.37883959,0.246835443,0.142857143,0.191520468,,0.402877698,0.167664671,0.147368421,,,,,0.148688047,0,,0.044247788,0.081576535,,,0.032258065,0.041420118,0.021126761,,,0.026086957,0.033898305,,0.159663866,0.028985507,,,0.181818182,0,0,,,,,0.069767442,0,0,0,,,,0,,0,0.064516129,0,0,0,,,,,,,,0
Cluster28,0.17490953,0.117932149,0.175700935,0.299382716,,0.077922078,,0.081395349,0.027303754,0.097087379,,,0.094736842,0,0.027237354,0,0,0.272727273,0.086444669,,0,,0.097203728,0.051612903,,0.016129032,0.046511628,0.021551724,,0.027210884,0,,,,0,0.106382979,,0,,0,0,,0,0.033333333,,,,0,0,0,,0.05,0,,,,,,,,,
Cluster29,0.183098592,0.259067358,0.268817204,,,0.529568697,,,0.12,0.218181818,,,,0.330143541,0.109848485,,,0.160714286,0.168466523,,,,0.246418338,0.169230769,,,0.057142857,0,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cluster30,0.449748744,0.369346734,0.397129187,0.341288783,,0.292004635,0.136363636,0.367741935,0.306418219,0.260416667,,,,0.24691358,0.198428291,0.207207207,,0.222222222,0.162637363,,0.296296296,0.085106383,0.089430894,0.148314607,,0.277777778,0.12195122,0.070175439,,0.093896714,,,,,0.076923077,0.083333333,,0.41025641,,,0,,0.048780488,0.009708738,,,,0.016194332,0,0.059701493,,0,,,,,0,,,,,
Cluster31,0.464820359,0.439004815,0.449003517,0.381410256,,0.363080685,0.230769231,0.342592593,0.347938144,0.253697383,0.206896552,0.155737705,0.169811321,0.291866029,0.493006993,0.071428571,,0.122807018,0.153061224,0.166666667,0.130434783,0.047619048,,0.069767442,,,0.110047847,0.134482759,0.172839506,0.144200627,,0.107142857,,0.036144578,0.35,0.083333333,,,,,0.15,,0,,0.125,,,,,0.013452915,0,0.043478261,,,,,0,,,,,
Cluster32,0.443951868,0.320205479,0.3,0.299516908,,0.262611276,,0.236434109,0.29562982,0.239051095,,,,0.25,0.301075269,0.191176471,,0.175824176,0.15403423,,,0.042372881,,0.194029851,,,0.140495868,0.079545455,,0.077586207,,,,0.275862069,0.018867925,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Cluster33,0.342403628,0.426630435,0.298469388,0.449275362,,0.325179856,,0.216494845,0.160220994,0.238095238,,,,0.224719101,0.206060606,0.133333333,,0.148148148,0.240614334,,0.105263158,0.08,0.170103093,0.156976744,,0.033898305,0.127906977,0.108108108,,0.12745098,,,,,0.047619048,0.043478261,0.035714286,,0,,,0.076923077,0,0.05511811,,,,0.046666667,0.017857143,0.078431373,,,0,0,0,,,,0,0,,
Cluster34,0.114992722,0.122413793,0.272477064,0.087431694,,0.098591549,0.222222222,0.314685315,0.082840237,0.059970015,,,,0.03,0.051569507,,0.041666667,0.056372549,0.077943079,0.047619048,0.08,0,0.052718287,0.046783626,,0.06779661,0.014367816,0.051813472,,0.004830918,0.028985507,,,0,0.018018018,0,,0,0,,0,0.025641026,0,0,,0,0,0.010869565,0.01010101,0.044776119,0,0.086956522,0,,,,0,0,,,,0
Cluster35,0.271428571,0.344749718,0.165441176,0.191176471,,0.283636364,,0,0.038095238,0.159340659,,,,0.09375,0,,0.666666667,0.079646018,0.126506024,,,,0.090909091,0.096774194,0.3,,0.045454545,0,,,,0,,0.023809524,0,,,,,,,,,0.020833333,0,,,,0,,,,,,,,,,,,,
