Cluster,acer campestre,acer ginnala,acer palmatum,acer platanoides,acer pseudoplatanus,acer rubrum,acer saccharinum,acer saccharum,aesculus hippocastanum,ailanthus altissima,amelanchier,carpinus betulus,catalpa,celtis occidentalis,cercidiphyllum japonicum,cercis canadensis,cornus florida,crataegus,fraxinus,fraxinus americana,fraxinus pennsylvanica,ginkgo biloba,gleditsia triacanthos,gymnocladus dioicus,ilex,juniperus virginiana,koelreuteria paniculata,liquidambar styraciflua,liriodendron tulipifera,magnolia,malus,metasequoia glyptostroboides,morus,picea,picea abies,picea pungens,pinus,pinus nigra,pinus strobus,platanus acerifolia,prunus,prunus cerasifera,prunus virginiana,pyrus calleryana,quercus acutissima,quercus alba,quercus bicolor,quercus palustris,quercus phellos,quercus robur,quercus rubra,robinia pseudoacacia,styphnolobium japonicum,syringa reticulata,taxodium distichum,tilia americana,tilia cordata,tilia tomentosa,tsuga canadensis,ulmus americana,ulmus parvifolia,zelkova serrata
Cluster39,,,,380,31,59,116,36,,,,,,60,,,,,22,,57,,723,27,,,,,,,40,,,,,,,,,862,295,84,,338,,,,118,,,,32,113,,,,110,39,,44,,89
Cluster40,25,20,72,837,,153,111,57,,21,,,,,,,,,,,118,70,360,,,,,,,,,,,38,,20,,,,2116,119,45,28,555,,,,379,,,52,,92,,,53,333,57,,42,24,164
Cluster41,,,106,1422,117,401,519,123,35,29,,,,,,24,49,,,,203,104,397,,,,,90,,,20,28,26,,,,,,51,1221,148,73,23,733,,,,1132,,,251,58,48,,52,97,315,69,,57,21,133
Cluster42,26,33,65,1618,122,234,402,110,21,,,,,,,,30,,,,388,70,723,,,,,24,,26,32,20,21,,20,54,,,,1097,212,139,30,748,,,,928,,,59,28,96,,,65,528,115,,34,,185
Cluster43,,,33,963,62,101,148,,,,,,,,,,,,,,379,167,431,,,,,,,,,,,,,,,,,2687,61,,,313,,37,,489,37,,66,46,44,,,109,238,60,,34,,166
Cluster44,,,,78,,29,,,,,25,,,24,,,,132,,,112,1492,2988,,,,,57,,,127,,,,,,,,,602,107,44,,2013,,,,402,146,43,231,144,285,,,107,730,49,,229,21,311
Cluster45,,,96,1938,61,187,215,75,35,89,,36,25,30,,,48,,,,298,185,1088,,24,,,119,39,44,36,31,54,31,,,,,41,2126,138,49,45,558,,34,26,942,,,173,133,188,,59,264,776,182,,138,56,480
Cluster46,,,36,915,77,123,180,20,,,,,,,,,,,,,51,26,245,,,,,,,,,,,,,,,,81,2979,167,,,152,,,,80,,,30,,67,,110,,180,,,34,,116
Cluster47,,20,,181,,117,,24,,32,,,,53,,,,49,,,265,650,2270,53,,,,20,,,43,23,,,,,,,,990,70,74,48,1401,,24,23,850,59,,284,128,302,,,205,663,107,,167,42,513
Cluster48,,,,1233,59,187,219,63,,,,,,30,,,,,,22,606,235,832,,,,,38,,,24,,,,,,,,,1121,143,90,28,618,,23,,853,26,,209,74,75,,,199,493,150,,72,25,253
Cluster49,31,42,,1576,117,399,368,136,,33,,,,,,,,,,,433,387,1023,,,,,43,,,24,,24,,,,,,,1633,244,39,51,724,,,,667,27,,155,70,136,63,,214,541,107,,78,33,305
Cluster50,,,,400,25,56,36,,,,,,,,,,,,,,198,24,541,,,,,,,,,,,,,,93,,,1321,72,28,,495,,,,,,,,37,63,,,,82,,,,,184
